i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
48,4560,200,3200,16,162.07491940867078
48,4560,400,6400,16,206.52031466927107
48,4560,800,12800,16,252.21142936188588
48,4560,200,12800,64,190.8700655933367
48,4560,1600,25600,16,299.24519915099887
48,4560,400,25600,64,232.27427192474067
45,5610,200,200,1,61.887453854084015
45,5610,400,400,1,102.41785048386879
45,5610,800,800,1,166.76735030840644
45,5610,1600,1600,1,253.9245214983826
45,5610,3200,3200,1,342.3917719046273
45,5610,6400,6400,1,410.4759880086247
45,5610,12800,12800,1,453.6940957487323
45,5610,200,3200,16,200.64956089714306
45,5610,25600,25600,1,478.19241509773565
45,5610,400,6400,16,263.8458405082672
45,5610,800,12800,16,333.186271681674
45,5610,1600,25600,16,396.18422581877576
19,5916,200,200,1,84.78732048008155
19,5916,400,400,1,143.50536768727238
19,5916,800,800,1,225.3915012992433
19,5916,1600,1600,1,318.66820418486105
19,5916,3200,3200,1,400.7383585935783
19,5916,6400,6400,1,458.2974265577253
19,5916,12800,12800,1,492.9450341361232
19,5916,25600,25600,1,512.0354362431549
19,5916,200,3200,16,318.34581612165675
19,5916,400,6400,16,378.6122674039343
49,2309,200,12800,64,83.67529962314902
19,5916,800,12800,16,425.91431299861483
49,2309,400,25600,64,105.0941629400593
19,5916,1600,25600,16,464.22706584199574
26,7122,200,200,1,90.62381375282855
26,7122,400,400,1,146.28941287143292
26,7122,800,800,1,219.3356816535259
26,7122,1600,1600,1,313.2193454618901
26,7122,3200,3200,1,418.60120639285066
26,7122,6400,6400,1,507.8437957426145
26,7122,12800,12800,1,567.5991344780028
26,7122,25600,25600,1,602.3857468096797
26,7122,200,3200,16,311.19885266126414
26,7122,400,6400,16,361.9029550759539
29,7473,200,200,1,96.68384469996388
26,7122,800,12800,16,421.26690197742323
29,7473,400,400,1,167.2658327805489
26,7122,1600,25600,16,490.3683033283013
29,7473,800,800,1,265.0547331003247
29,7473,1600,1600,1,376.2001064526846
29,7473,3200,3200,1,480.33199833155146
29,7473,6400,6400,1,559.972486214748
29,7473,12800,12800,1,611.1150646949297
13,8634,200,200,1,95.68693754528746
29,7473,25600,25600,1,640.3922391041316
13,8634,400,400,1,155.62429944353775
13,8634,800,800,1,247.78684491365203
13,8634,1600,1600,1,377.03257082657984
13,8634,3200,3200,1,514.4417270999958
13,8634,6400,6400,1,623.2887623580865
13,8634,12800,12800,1,693.3486841738279
13,8634,25600,25600,1,733.3160910926179
39,9909,200,200,1,87.35635897495271
32,10069,200,200,1,94.48102797047562
39,9909,400,400,1,150.17456590965477
32,10069,400,400,1,162.3451479555781
48,4560,200,6400,32,179.8195461885439
39,9909,800,800,1,258.3602592107331
48,4560,400,12800,32,222.8100289328183
48,4560,800,25600,32,265.06580168669325
32,10069,800,800,1,275.9644132475231
39,9909,1600,1600,1,413.57914589135186
32,10069,1600,1600,1,435.99905530890237
39,9909,3200,3200,1,578.1151433297043
32,10069,3200,3200,1,601.3572994371798
39,9909,6400,6400,1,708.1243458100971
32,10069,6400,6400,1,729.1574750234389
39,9909,12800,12800,1,791.7839714843836
32,10069,12800,12800,1,810.2589725456351
39,9909,25600,25600,1,839.527886648942
32,10069,25600,25600,1,856.1881983527306
39,9909,200,12800,64,446.197557495986
39,9909,200,3200,16,339.9866062116906
39,9909,400,25600,64,579.2740993937155
39,9909,400,6400,16,481.8698168453615
39,9909,800,12800,16,625.2933858924645
22,9846,200,3200,16,679.7395455101948
39,9909,1600,25600,16,736.161856991121
22,9846,400,6400,16,767.6435446470265
22,9846,800,12800,16,820.7901946813411
22,9846,1600,25600,16,851.34249425348
32,10069,200,3200,16,378.02796252573506
32,10069,400,6400,16,531.5254502772524
32,10069,800,12800,16,672.9577554298155
32,10069,1600,25600,16,774.1175711570379
49,2309,200,3200,16,73.57185417590837
49,2309,400,6400,16,95.64797278584331
49,2309,800,12800,16,122.74199767123693
49,2309,1600,25600,16,150.06014715604178
48,4560,200,25600,128,197.14101743719309
42,11866,200,200,1,107.18178755039703
42,11866,400,400,1,182.81391749751003
45,5610,200,400,2,90.6754282479069
45,5610,400,800,2,140.89981758618265
45,5610,800,1600,2,214.55648092517103
45,5610,200,6400,32,225.4368318295565
45,5610,1600,3200,2,301.7535691856396
45,5610,400,12800,32,286.0504533936389
42,11866,800,800,1,308.1411375845087
45,5610,3200,6400,2,379.5662005328906
45,5610,800,25600,32,350.59243469975246
45,5610,6400,12800,2,434.332555574187
45,5610,12800,25600,2,467.3141556331499
42,11866,1600,1600,1,489.10257449229
42,11866,3200,3200,1,685.3546199030474
42,11866,6400,6400,1,842.908998122833
42,11866,12800,12800,1,945.1133301860444
19,5916,200,400,2,137.74896999507692
42,11866,25600,25600,1,1003.6649920318497
42,11866,200,3200,16,397.4180731617379
19,5916,400,800,2,212.69236664321483
19,5916,800,1600,2,299.3244471735024
19,5916,1600,3200,2,380.53538663958125
19,5916,3200,6400,2,442.913106830658
42,11866,400,6400,16,543.5109159168188
19,5916,6400,12800,2,483.3383629046265
19,5916,12800,25600,2,506.6534349683997
49,2309,200,6400,32,79.89726673050005
19,5916,200,6400,32,353.91631825523535
49,2309,400,12800,32,101.63636392988103
49,2309,800,25600,32,127.91350906776144
19,5916,400,12800,32,402.55270787725283
42,11866,800,12800,16,708.7519700545167
19,5916,800,25600,32,440.34789748077037
42,11866,1600,25600,16,849.1339864257932
26,7122,200,400,2,143.77381623966025
26,7122,400,800,2,210.66618608715245
26,7122,800,1600,2,288.774371092538
26,7122,1600,3200,2,380.6283881466056
26,7122,3200,6400,2,472.7521880628121
26,7122,6400,12800,2,543.6070232240285
26,7122,12800,25600,2,588.3493362951735
26,7122,200,6400,32,340.783304873212
26,7122,400,12800,32,382.3832059638119
26,7122,800,25600,32,436.29138803075233
29,7473,200,400,2,162.48215593532095
29,7473,400,800,2,256.20203754394674
29,7473,800,1600,2,359.72639354897404
29,7473,1600,3200,2,455.5682060848181
29,7473,3200,6400,2,535.9589092549055
29,7473,6400,12800,2,594.0902215555476
29,7473,12800,25600,2,630.2296622561997
50,3484,200,3200,16,114.44273092281858
50,3484,400,6400,16,149.8871537346358
50,3484,800,12800,16,195.94234417115746
50,3484,1600,25600,16,239.79757525393822
13,8634,200,400,2,148.17644131227487
13,8634,400,800,2,221.67125358537072
13,8634,800,1600,2,327.20144083401567
13,8634,1600,3200,2,457.42398334953776
13,8634,3200,6400,2,578.1465944407023
13,8634,6400,12800,2,664.6494481421242
13,8634,12800,25600,2,717.0977836505597
46,5390,200,200,1,57.89983925406515
46,5390,400,400,1,91.21943946484735
46,5390,800,800,1,146.5811253866539
46,5390,1600,1600,1,227.63373470854893
46,5390,200,3200,16,146.28218987552222
46,5390,3200,3200,1,315.4775900141669
46,5390,400,6400,16,192.8946525306328
46,5390,6400,6400,1,385.6150359465934
46,5390,800,12800,16,262.85940539143803
46,5390,12800,12800,1,430.9000575926033
46,5390,1600,25600,16,339.310960487978
46,5390,25600,25600,1,456.7672909592052
49,2309,200,25600,128,85.72443872844701
20,5886,200,200,1,73.95240303593063
20,5886,400,400,1,116.11972343499434
20,5886,800,800,1,173.81840805379795
20,5886,1600,1600,1,251.47996593349325
20,5886,3200,3200,1,340.5407641558082
20,5886,6400,6400,1,416.4350996804485
20,5886,12800,12800,1,467.3005375682964
20,5886,25600,25600,1,496.9063439730136
32,10069,200,400,2,145.32689323894138
39,9909,200,400,2,130.84961243339208
20,5886,200,3200,16,204.4803412073958
32,10069,400,800,2,238.0308206785143
20,5886,400,6400,16,240.211266967426
20,5886,800,12800,16,295.0627188497459
39,9909,400,800,2,215.30405418093656
20,5886,1600,25600,16,365.03469847606135
32,10069,800,1600,2,380.84507237638434
39,9909,800,1600,2,349.2539217943935
32,10069,1600,3200,2,548.0679088959349
39,9909,1600,3200,2,513.1256326871032
50,3484,200,6400,32,123.8996709719077
50,3484,400,12800,32,159.05889637511967
50,3484,800,25600,32,203.83692364672444
32,10069,3200,6400,2,690.6899092678252
39,9909,3200,6400,2,659.6529249812853
32,10069,6400,12800,2,786.9164545948814
39,9909,6400,12800,2,761.81548610463
39,9909,200,25600,128,471.7032779253073
32,10069,12800,25600,2,843.2981123248574
39,9909,12800,25600,2,822.814514029431
39,9909,200,6400,32,403.1861822512888
39,9909,400,12800,32,542.3515212451777
39,9909,800,25600,32,671.1104447576673
22,9846,200,6400,32,766.2770229807566
22,9846,400,12800,32,817.6966631775642
22,9846,800,25600,32,847.9596401454363
45,5610,200,12800,64,240.6250180605302
45,5610,400,25600,64,298.85919486387877
30,7199,200,200,1,96.39219203868723
32,10069,200,6400,32,445.9514361670071
30,7199,400,400,1,163.366667334497
48,4560,200,200,1,55.10189018316339
48,4560,400,400,1,86.44122570026435
48,4560,800,800,1,130.31986752579476
30,7199,800,800,1,260.0734470933072
48,4560,1600,1600,1,190.46176032514182
32,10069,400,12800,32,594.6768167532981
48,4560,3200,3200,1,260.61267114803894
30,7199,1600,1600,1,376.31673651402446
48,4560,6400,6400,1,320.693943062955
48,4560,12800,12800,1,360.9774092854668
48,4560,25600,25600,1,384.41623726600005
30,7199,3200,3200,1,480.9586998034474
32,10069,800,25600,32,718.7418355628646
30,7199,6400,6400,1,554.2967334145183
30,7199,12800,12800,1,598.1911505304911
30,7199,25600,25600,1,622.268705826396
51,2759,200,3200,16,109.96147119818644
51,2759,400,6400,16,132.75646896033606
51,2759,800,12800,16,155.41850474776268
51,2759,1600,25600,16,180.5571108710659
27,8996,200,200,1,88.95527201610733
27,8996,400,400,1,154.17134738571335
27,8996,800,800,1,258.8013257708524
27,8996,1600,1600,1,399.9445622167543
46,5390,200,400,2,81.09342375209299
46,5390,400,800,2,119.54431516800881
27,8996,3200,3200,1,543.913422817069
46,5390,800,1600,2,181.8296415558675
46,5390,1600,3200,2,265.67767640978167
46,5390,3200,6400,2,347.0923616514291
27,8996,6400,6400,1,655.129207433514
46,5390,6400,12800,2,406.6708550092864
46,5390,200,6400,32,157.53637063281022
46,5390,12800,25600,2,443.14435948762736
46,5390,400,12800,32,204.40323123390382
46,5390,800,25600,32,274.10138240975493
27,8996,12800,12800,1,725.8272144434899
27,8996,25600,25600,1,765.9214402560375
50,3484,200,12800,64,129.3816233853128
50,3484,400,25600,64,164.172895414508
27,8996,200,3200,16,402.3297173571278
27,8996,400,6400,16,522.1949067012432
27,8996,800,12800,16,620.5936020996681
27,8996,1600,25600,16,694.3927935243152
20,5886,200,400,2,110.55681975927197
19,5916,200,12800,64,374.9238249906314
20,5886,400,800,2,157.24149314126433
51,2759,200,6400,32,120.04888981569938
19,5916,400,25600,64,415.70360609915093
51,2759,400,12800,32,140.11548335763493
20,5886,800,1600,2,216.89872626528594
51,2759,800,25600,32,160.33634106528152
20,5886,1600,3200,2,293.8689490222528
20,5886,3200,6400,2,375.45200670158044
20,5886,6400,12800,2,439.8494831499533
20,5886,12800,25600,2,480.99112738207356
42,11866,200,400,2,166.92684529882877
20,5886,200,6400,32,218.4237704786637
20,5886,400,12800,32,250.62667473930236
51,2759,200,12800,64,125.92954988646225
51,2759,400,25600,64,144.12404584447216
20,5886,800,25600,32,304.31865766387966
42,11866,400,800,2,267.0640037852244
23,5325,200,3200,16,221.64944123490426
23,5325,400,6400,16,256.5144776763144
23,5325,800,12800,16,290.3233999981658
23,5325,1600,25600,16,332.91900132142604
42,11866,800,1600,2,420.2914297428699
42,11866,1600,3200,2,611.1787161715621
42,11866,3200,6400,2,785.8277235863083
14,9789,200,200,1,110.92819713739466
42,11866,6400,12800,2,909.2954644654814
14,9789,400,400,1,191.76904072240916
14,9789,800,800,1,315.03684993468295
42,11866,12800,25600,2,983.5462297897676
48,4560,200,400,2,79.18609023035985
48,4560,400,800,2,115.96859851069479
48,4560,800,1600,2,164.43810679081105
48,4560,1600,3200,2,225.70507742236921
42,11866,200,6400,32,451.4342290697027
48,4560,3200,6400,2,289.70879748836126
14,9789,1600,1600,1,471.41314572367475
48,4560,6400,12800,2,340.0729459792777
48,4560,12800,25600,2,372.2501709098255
14,9789,3200,3200,1,621.316362213391
42,11866,400,12800,32,596.2119271842733
14,9789,6400,6400,1,732.2028944480196
42,11866,800,25600,32,751.4067567326483
14,9789,12800,12800,1,800.9564987314709
14,9789,25600,25600,1,839.4353653405598
45,5610,200,25600,128,249.08274753854266
30,7199,200,400,2,157.2761949757759
30,7199,400,800,2,243.4154964612341
30,7199,800,1600,2,350.95693870762966
30,7199,1600,3200,2,457.45408821343693
30,7199,3200,6400,2,538.1344132618667
30,7199,6400,12800,2,588.697779105456
30,7199,12800,25600,2,617.1221659737704
47,6015,200,200,1,59.23955075990653
47,6015,400,400,1,96.645591468391
50,3484,200,25600,128,132.3442235697915
47,6015,800,800,1,162.29425720944914
47,6015,1600,1600,1,257.19028816074984
49,2309,200,200,1,30.182262648718705
49,2309,400,400,1,46.06522703463696
49,2309,800,800,1,70.31598859327545
49,2309,1600,1600,1,103.58093287598119
49,2309,3200,3200,1,138.99533217548642
49,2309,6400,6400,1,167.31764204270425
47,6015,3200,3200,1,356.626567361452
49,2309,12800,12800,1,185.69575995470487
49,2309,25600,25600,1,196.2330708783242
47,6015,6400,6400,1,433.94224501597563
47,6015,12800,12800,1,483.1139648236898
47,6015,25600,25600,1,510.98364101937756
47,6015,200,3200,16,158.9837088985656
47,6015,400,6400,16,228.62976941455784
47,6015,800,12800,16,321.03565091415896
47,6015,1600,25600,16,405.9098337490428
33,11482,200,200,1,104.62477850579717
33,11482,400,400,1,175.2131997273471
21,5947,200,200,1,58.59668055186965
33,11482,800,800,1,289.6951420692895
21,5947,400,400,1,93.59818095988788
23,5325,200,6400,32,243.68698588968888
40,11730,200,200,1,106.27266959675856
21,5947,800,800,1,152.7857045316443
23,5325,400,12800,32,271.1413323134846
21,5947,1600,1600,1,240.78174094390917
23,5325,800,25600,32,300.0467561060176
21,5947,3200,3200,1,339.0120875431951
33,11482,1600,1600,1,460.04251751167953
49,2309,200,400,2,40.43231960711463
49,2309,400,800,2,58.66738213266275
21,5947,6400,6400,1,419.2742612662248
49,2309,800,1600,2,85.21452226968893
49,2309,1600,3200,2,118.2473711836664
49,2309,3200,6400,2,150.30507235799408
49,2309,6400,12800,2,174.53890660286797
40,11730,400,400,1,175.86885390725172
49,2309,12800,25600,2,189.8066084433091
21,5947,12800,12800,1,471.78584917161146
21,5947,25600,25600,1,501.9895932165971
33,11482,3200,3200,1,651.2166669377744
27,8996,200,400,2,139.15862526994889
40,11730,800,800,1,288.2170512483763
27,8996,400,800,2,228.66593851708282
33,11482,6400,6400,1,807.5424228384015
19,5916,200,25600,128,386.3343233186753
27,8996,800,1600,2,356.04185371810485
40,11730,1600,1600,1,458.5249446383859
33,11482,12800,12800,1,909.8144843272411
27,8996,1600,3200,2,498.82848775957024
40,11730,3200,3200,1,654.3083486949243
27,8996,3200,6400,2,620.7058368990465
33,11482,25600,25600,1,968.6390059819602
27,8996,6400,12800,2,704.1851164328638
40,11730,6400,6400,1,817.2110291915764
27,8996,12800,25600,2,753.7340652085828
40,11730,12800,12800,1,924.8188741760086
27,8996,200,6400,32,490.9718194955233
21,5947,200,3200,16,243.99809351578602
21,5947,400,6400,16,319.2371567471135
21,5947,800,12800,16,395.7450868998516
27,8996,400,12800,32,590.7437227295524
40,11730,25600,25600,1,987.0180095822424
21,5947,1600,25600,16,454.6216447896854
27,8996,800,25600,32,665.2768728858529
40,11730,200,3200,16,387.9088741809442
40,11730,400,6400,16,516.4622001658078
40,11730,800,12800,16,679.289626585112
40,11730,1600,25600,16,826.3753961091461
33,11482,200,3200,16,403.0758170719234
35,9015,200,200,1,82.27644344514897
51,2759,200,25600,128,129.11544636166585
35,9015,400,400,1,140.35221953185751
33,11482,400,6400,16,537.3504168786695
35,9015,800,800,1,237.2804289837841
33,11482,800,12800,16,695.0986683686035
35,9015,1600,1600,1,376.11231552668676
35,9015,3200,3200,1,524.7969604875242
33,11482,1600,25600,16,830.419499608683
35,9015,6400,6400,1,643.1806721749792
35,9015,12800,12800,1,719.6644996758679
47,6015,200,400,2,83.57703500563822
35,9015,25600,25600,1,763.3983988535111
47,6015,400,800,2,129.4240382589426
47,6015,800,1600,2,206.83559234181658
47,6015,1600,3200,2,306.2551233973175
47,6015,3200,6400,2,396.863312445167
47,6015,6400,12800,2,460.38787762464096
47,6015,12800,25600,2,498.370932618217
48,4560,200,800,4,108.01283043496483
48,4560,400,1600,4,150.0368963932864
48,4560,800,3200,4,201.1425403001382
48,4560,1600,6400,4,259.40252032478685
48,4560,3200,12800,4,314.7759139715509
48,4560,6400,25600,4,355.76613526635305
47,6015,200,6400,32,173.95159551813208
47,6015,400,12800,32,246.15024458720683
47,6015,800,25600,32,337.414931035514
31,8858,200,200,1,89.45595331919151
43,10876,200,200,1,97.62137537727936
31,8858,400,400,1,145.95754492626358
31,8858,800,800,1,232.20872981245955
43,10876,400,400,1,168.1927238169512
31,8858,1600,1600,1,357.8069231869229
31,8858,3200,3200,1,501.4569860828708
43,10876,800,800,1,284.6022792975483
31,8858,6400,6400,1,621.2594102862342
43,10876,1600,1600,1,452.30156789272
14,9789,200,400,2,182.24418778960342
31,8858,12800,12800,1,700.5712759140055
21,5947,200,400,2,86.4474406992692
21,5947,400,800,2,132.55828490544678
21,5947,800,1600,2,204.49835131955234
14,9789,400,800,2,289.01056993322925
31,8858,25600,25600,1,746.4773789807293
43,10876,3200,3200,1,632.8410347654514
21,5947,1600,3200,2,298.20499316299373
21,5947,3200,6400,2,387.26622692829187
21,5947,6400,12800,2,451.5412718924961
14,9789,800,1600,2,430.04315084619196
21,5947,12800,25600,2,490.57948006331594
43,10876,6400,6400,1,776.2605165781448
14,9789,1600,3200,2,579.7989685434305
43,10876,12800,12800,1,868.5787366185988
14,9789,3200,6400,2,701.7686695384435
14,9789,6400,12800,2,782.370310128407
43,10876,25600,25600,1,921.2296683550421
14,9789,12800,25600,2,829.1428785446775
21,5947,200,6400,32,293.97690665999426
21,5947,400,12800,32,361.960826728899
21,5947,800,25600,32,426.87858093245745
24,8608,200,3200,16,600.4022055078364
43,10876,200,3200,16,452.75191496507534
24,8608,400,6400,16,678.9015302781715
24,8608,800,12800,16,724.3761542567263
43,10876,400,6400,16,603.529595103828
24,8608,1600,25600,16,748.9016409349773
46,5390,200,12800,64,164.11010375805526
43,10876,800,12800,16,744.0538025270818
46,5390,400,25600,64,210.98933633201904
43,10876,1600,25600,16,845.6662124616665
1,6448,200,200,1,75.33829060397173
1,6448,400,400,1,122.96235990150491
1,6448,800,800,1,195.15408988625575
1,6448,1600,1600,1,292.6544617822276
1,6448,3200,3200,1,393.55618402600714
1,6448,6400,6400,1,471.85404601523345
1,6448,12800,12800,1,521.5649626922507
1,6448,25600,25600,1,549.7009526976661
22,9846,200,200,1,128.09124119848704
22,9846,400,400,1,232.95942165091563
28,9052,200,200,1,99.50320889646184
22,9846,800,800,1,384.9758701576956
28,9052,400,400,1,165.83497889556185
48,4560,200,1600,8,137.32675447743233
37,10586,200,200,1,96.41164853523955
22,9846,1600,1600,1,551.1216617203497
48,4560,400,3200,8,182.01560792042778
48,4560,800,6400,8,231.5768872115184
28,9052,800,800,1,264.43864901327925
48,4560,1600,12800,8,283.954894587864
48,4560,3200,25600,8,331.5198047947084
22,9846,3200,3200,1,686.8766322931879
37,10586,400,400,1,165.26006157634484
28,9052,1600,1600,1,396.57857264736606
22,9846,6400,6400,1,776.5088062475963
37,10586,800,800,1,274.16854112578295
28,9052,3200,3200,1,537.5687678525635
22,9846,12800,12800,1,828.4961297326665
28,9052,6400,6400,1,651.1909519835818
37,10586,1600,1600,1,429.98631465551966
28,9052,12800,12800,1,725.2663618638783
22,9846,25600,25600,1,856.5643130982019
37,10586,3200,3200,1,603.4531408818655
28,9052,25600,25600,1,767.83773793177
37,10586,6400,6400,1,745.8370850036306
28,9052,200,3200,16,388.7263848032588
37,10586,12800,12800,1,839.3604929432207
28,9052,400,6400,16,486.64975673862284
37,10586,25600,25600,1,893.2850309425581
28,9052,800,12800,16,592.0446980788481
45,5610,200,800,4,127.11559175286853
45,5610,400,1600,4,186.18365601532577
45,5610,800,3200,4,263.8002749837876
28,9052,1600,25600,16,680.5312563805861
45,5610,1600,6400,4,344.5373849637687
45,5610,3200,12800,4,409.62664034997465
45,5610,6400,25600,4,452.50184305283756
40,11730,200,12800,64,492.1843563184969
49,2309,200,800,4,52.629681645979176
49,2309,400,1600,4,73.48575129487564
49,2309,800,3200,4,101.59463117355433
40,11730,400,25600,64,612.3377508773651
49,2309,1600,6400,4,132.97854940408234
49,2309,3200,12800,4,161.00318653861703
49,2309,6400,25600,4,181.15849593194852
33,11482,200,400,2,161.6980578708786
33,11482,400,800,2,253.60477514501852
33,11482,800,1600,2,395.01552866097535
20,5886,200,12800,64,226.18391193424156
20,5886,400,25600,64,256.2584444616459
13,8634,200,3200,16,336.63616254679266
33,11482,1600,3200,2,578.4500049286137
13,8634,400,6400,16,417.01211775448985
33,11482,3200,6400,2,750.9257556821727
13,8634,800,12800,16,510.5549355828809
15,6266,200,200,1,80.77583172354278
15,6266,400,400,1,132.31716524311395
13,8634,1600,25600,16,603.7353517761514
15,6266,800,800,1,198.508454585558
33,11482,6400,12800,2,874.1908398050232
15,6266,1600,1600,1,278.4576789022842
15,6266,3200,3200,1,367.7686317993451
19,5916,200,800,4,203.216013008562
15,6266,6400,6400,1,445.22309803456636
33,11482,12800,25600,2,948.6164584802531
19,5916,400,1600,4,283.79635639886936
15,6266,12800,12800,1,498.07144010230144
19,5916,800,3200,4,360.46177165539837
40,11730,200,400,2,164.29460044489434
15,6266,25600,25600,1,529.1708105146591
19,5916,1600,6400,4,423.6649287409077
19,5916,3200,12800,4,469.39191053120976
19,5916,6400,25600,4,498.17960336401285
40,11730,400,800,2,251.53144219626623
35,9015,200,400,2,123.91277213638409
40,11730,800,1600,2,388.3339416569299
35,9015,400,800,2,200.42203116876757
40,11730,1600,3200,2,573.5045951132063
35,9015,800,1600,2,318.8271889597304
35,9015,1600,3200,2,465.7511803173751
40,11730,3200,6400,2,753.2292334151997
35,9015,3200,6400,2,598.8550732191355
35,9015,6400,12800,2,692.2076745673804
40,11730,6400,12800,2,884.1707932366885
49,2309,200,1600,8,64.25131046740785
49,2309,400,3200,8,86.27465694243409
49,2309,800,6400,8,114.23737996540098
49,2309,1600,12800,8,143.42661576405754
49,2309,3200,25600,8,168.22629952938618
35,9015,12800,25600,2,748.0774147701069
40,11730,12800,25600,2,964.0573306541083
31,8858,200,400,2,135.87618159926444
31,8858,400,800,2,205.13517319309318
40,11730,200,6400,32,449.80742707351067
31,8858,800,1600,2,306.03659329459566
31,8858,1600,3200,2,439.52073025526545
40,11730,400,12800,32,575.9681358467129
31,8858,3200,6400,2,570.8763428939563
40,11730,800,25600,32,729.2872288856472
31,8858,6400,12800,2,668.0788638369136
47,6015,200,12800,64,183.08381460786563
