i,matrix_alpha,habitat_alpha,ratio,eca
1,400,400,1,122.96235990150491
1,500,500,1,143.15440744738507
1,625,625,1,166.1945781402594
1,781,781,1,192.21468070639995
1,977,977,1,221.11691696303393
1,1221,1221,1,252.47643155471692
1,1526,1526,1,285.51258097105386
1,1907,1907,1,319.17711321846383
1,2384,2384,1,352.3323682162125
1,2980,2980,1,383.9411659704685
1,3725,3725,1,413.20089638605515
1,4657,4657,1,439.5981312041179
1,5821,5821,1,462.8966402640214
1,7276,7276,1,483.08630018925925
1,9095,9095,1,500.31840687421646
1,11369,11369,1,514.844264249801
1,14211,14211,1,526.9652669168241
7,400,14211,35.52713678800501,587.3063815349112
1,17764,17764,1,536.996614332087
7,500,17764,35.52713678800501,595.6354930969588
1,22204,22204,1,545.2434538233689
1,27756,27756,1,551.9869024556517
7,625,22204,35.52713678800501,604.3350899468742
1,34694,34694,1,557.4772156296455
1,43368,43368,1,561.9317342388804
7,781,27756,35.52713678800501,614.0378712515403
45,400,400,1,102.41785048386879
26,400,400,1,146.28941287143292
45,500,500,1,120.18775719521064
1,54210,54210,1,565.5357804546397
7,977,34694,35.52713678800501,624.9988038007742
45,625,625,1,140.73583448254905
1,67763,67763,1,568.4451943730389
26,500,500,1,167.81076942963358
45,781,781,1,164.1211909839075
1,84703,84703,1,570.7896344812942
26,625,625,1,191.1606374641687
45,977,977,1,190.12536784384113
7,1221,43368,35.52713678800501,637.0636190715892
1,105879,105879,1,572.6760887453354
45,1221,1221,1,218.21831413068432
26,781,781,1,216.51373260771072
45,1526,1526,1,247.6017874299693
1,132349,132349,1,574.1922710194793
7,1526,54210,35.52713678800501,649.7834342604632
45,1907,1907,1,277.3207499768995
26,977,977,1,244.09639386007245
1,165436,165436,1,575.4097302629057
45,2384,2384,1,306.4072437861798
7,1907,67763,35.52713678800501,662.590953755903
26,1221,1221,1,274.0355452092997
1,206795,206795,1,576.3865972246901
45,2980,2980,1,334.01234084146114
45,3725,3725,1,359.4934250436603
26,1526,1526,1,306.15815497391833
1,258494,258494,1,577.1699521663462
7,2384,84703,35.52713678800501,674.9533203702429
45,4657,4657,1,382.44651893164536
1,323117,323117,1,577.7978302825716
26,1907,1907,1,339.87241709606974
45,5821,5821,1,402.6927132055997
1,403897,403897,1,578.3008985344293
7,2980,105879,35.52713678800501,686.4614890628509
45,7276,7276,1,420.23672755319507
26,2384,2384,1,374.22238204390624
45,9095,9095,1,435.2152160553705
26,2980,2980,1,408.08464536434866
45,11369,11369,1,447.8472458594254
7,3725,132349,35.52713678800501,696.8579702570651
45,14211,14211,1,458.39348446617527
26,3725,3725,1,440.3965436612026
45,17764,17764,1,467.12610551458823
7,4657,165436,35.52713678800501,706.0240450128422
26,4657,4657,1,470.32182883067605
45,22204,22204,1,474.30872783182366
45,27756,27756,1,480.1844967689501
26,5821,5821,1,497.3216067635389
7,5821,206795,35.52713678800501,713.9484567666145
45,34694,34694,1,484.97015749190945
26,7276,7276,1,521.1466070791897
45,43368,43368,1,488.85419407779807
7,7276,258494,35.52713678800501,720.6927795583721
45,54210,54210,1,491.9975117937064
26,9095,9095,1,541.7842222662874
