i,habitat_cells,matrix_alpha,habitat_alpha,ratio,eca
26,7122,200,200,1,90.62381375282855
26,7122,280,280,1,115.52395310165907
7,8352,200,200,1,108.76584385557057
26,7122,392,392,1,144.42786712772602
7,8352,280,280,1,143.5823687293682
16,8403,200,31114,155.5680955578121,594.3972497771144
26,7122,549,549,1,177.32536558586776
26,7122,768,768,1,214.54314217590615
7,8352,392,392,1,186.11548157616676
16,8403,280,43559,155.5680955578121,602.3163940981517
26,7122,1076,1076,1,256.7744711745912
7,8352,549,549,1,235.82068795803474
16,8403,392,60983,155.5680955578121,610.4542947701967
26,7122,1506,1506,1,304.20950689930027
7,8352,768,768,1,291.0984659238596
16,8403,549,85376,155.5680955578121,619.5771824338613
26,7122,2108,2108,1,355.277044068735
26,7122,2952,2952,1,406.64362229029706
13,8634,200,200,1,95.68693754528746
7,8352,1076,1076,1,349.7476221105278
16,8403,768,119526,155.5680955578121,630.146289821943
26,7122,4132,4132,1,454.63584940304395
7,8352,1506,1506,1,409.49715717463
13,8634,280,280,1,121.74705009647252
26,7122,5785,5785,1,496.6197628086301
26,7122,8099,8099,1,531.4507089654952
7,8352,2108,2108,1,468.01402603437566
13,8634,392,392,1,153.49854463420954
26,7122,11339,11339,1,559.1991240302525
7,8352,2952,2952,1,522.8180901334857
13,8634,549,549,1,192.7756972974986
26,7122,15874,15874,1,580.6485754079878
7,8352,4132,4132,1,571.6901562187645
26,7122,22224,22224,1,596.8668762333989
13,8634,768,768,1,241.30119948325054
26,7122,31114,31114,1,608.9348807137749
7,8352,5785,5785,1,613.2448489462677
13,8634,1076,1076,1,299.3513223159368
26,7122,43559,43559,1,617.8113934501747
7,8352,8099,8099,1,647.1373169877415
1,6448,200,200,1,75.33829060397173
13,8634,1506,1506,1,364.7788649103011
26,7122,60983,60983,1,624.2863346440423
1,6448,280,280,1,95.92720684942796
7,8352,11339,11339,1,673.8615689172425
26,7122,85376,85376,1,628.9813355833836
13,8634,2108,2108,1,433.1895263257231
1,6448,392,392,1,121.2664366907137
26,7122,119526,119526,1,632.3711563658644
1,6448,549,549,1,152.41211052238395
7,8352,15874,15874,1,694.3885071056968
13,8634,2952,2952,1,499.38507582393464
1,6448,768,768,1,190.1659587256642
32,10069,200,200,1,94.48102797047562
7,8352,22224,22224,1,709.8469696043891
1,6448,1076,1076,1,234.43455759626409
13,8634,4132,4132,1,559.0946547248849
1,6448,1506,1506,1,283.5334702436705
7,8352,31114,31114,1,721.3195901820859
32,10069,280,280,1,122.90315686127295
1,6448,2108,2108,1,334.1873740899645
13,8634,5785,5785,1,609.9026354013778
1,6448,2952,2952,1,382.6164931675515
7,8352,43559,43559,1,729.7435752184424
1,6448,4132,4132,1,425.8408072269882
13,8634,8099,8099,1,651.198364998364
32,10069,392,392,1,159.8071504392145
19,5916,200,200,1,84.78732048008155
7,8352,60983,60983,1,735.881241187153
1,6448,5785,5785,1,462.2968070108543
19,5916,280,280,1,110.31286736692552
13,8634,11339,11339,1,683.6132204532944
1,6448,8099,8099,1,491.71863826052544
39,9909,200,200,1,87.35635897495271
19,5916,392,392,1,141.45207005110177
7,8352,85376,85376,1,740.3281198139233
32,10069,549,549,1,207.56038223485092
1,6448,11339,11339,1,514.6874673470709
19,5916,549,549,1,178.28654745178272
13,8634,15874,15874,1,708.4058845092883
19,5916,768,768,1,220.10799510110243
1,6448,15874,15874,1,532.1832585220383
7,8352,119526,119526,1,743.5370142658948
39,9909,280,280,1,113.37208922238133
19,5916,1076,1076,1,265.1203402996634
32,10069,768,768,1,267.86966816930277
1,6448,22224,22224,1,545.2728321818275
19,5916,1506,1506,1,310.6414969982477
13,8634,22224,22224,1,727.011196528073
1,6448,31114,31114,1,554.9390439097
19,5916,2108,2108,1,353.80496296377515
39,9909,392,392,1,147.7866737774177
1,6448,43559,43559,1,562.0103547786695
19,5916,2952,2952,1,392.33629681526986
32,10069,1076,1076,1,340.2271539745534
13,8634,31114,31114,1,740.7812672498112
19,5916,31114,52,0.001673274998843728,120.64000340378678
19,5916,4132,4132,1,424.9814941965403
19,5916,200,5785,28.925465497599983,349.7381724146324
1,6448,60983,60983,1,567.1484527351901
19,5916,43559,73,0.001673274998843728,158.50101268431249
19,5916,5785,5785,1,451.4846803975106
19,5916,280,8099,28.925465497599983,375.86855783480627
1,6448,85376,85376,1,570.8637455228311
39,9909,549,549,1,192.99541412185465
19,5916,60983,102,0.001673274998843728,201.8930653065713
13,8634,43559,43559,1,750.8710984107739
19,5916,8099,8099,1,472.2947228008936
32,10069,1506,1506,1,420.9998880997617
19,5916,392,11339,28.925465497599983,398.58710301759226
1,6448,119526,119526,1,573.5408774160893
19,5916,85376,143,0.001673274998843728,248.9729465224538
19,5916,11339,11339,1,488.224742052989
19,5916,200,31114,155.5680955578121,388.42422649416324
19,5916,549,15874,28.925465497599983,418.5283474742578
19,5916,119526,200,0.001673274998843728,296.88808146372565
19,5916,15874,15874,1,500.1902744049255
19,5916,280,43559,155.5680955578121,406.9561365449085
13,8634,60983,60983,1,758.21109054558
39,9909,768,768,1,250.59809160448066
19,5916,768,22224,28.925465497599983,436.6677673128018
19,5916,8099,52,0.006428053235558064,106.20332119156015
32,10069,2108,2108,1,504.1925585260611
19,5916,22224,22224,1,509.0535127470049
19,5916,392,60983,155.5680955578121,422.91105690878237
19,5916,11339,73,0.006428053235558064,144.4048644615437
19,5916,1076,31114,28.925465497599983,453.5224782153
